cluster,n_papers,share_of_corpus,median_citations_3yr,mean_citations_3yr,mean_log_citations,share_uncited,share_top_decile
0,3496,0.1415900530557693,7.0,24.856407165527344,2.1958484649658203,0.09811212814645309,0.16018306636155608
1,1422,0.057591835081608686,4.5,16.18494987487793,1.8368473052978516,0.11533052039381153,0.07172995780590717
2,4714,0.19091976833664087,4.0,17.612430572509766,1.7987054586410522,0.13619007212558337,0.08697496817988969
3,3292,0.1333279332550322,3.0,8.994532585144043,1.531575322151184,0.16190765492102066,0.03979343863912515
4,3436,0.13916001782025839,6.0,18.83207130432129,2.004984140396118,0.11263096623981374,0.10069848661233993
5,1452,0.05880685269936414,6.0,17.643251419067383,2.0331573486328125,0.09848484848484848,0.1081267217630854
6,2849,0.11538617309950994,6.0,23.83362579345703,2.0194787979125977,0.12214812214812215,0.11793611793611794
7,4030,0.16321736665181646,6.0,47.6295280456543,2.0367443561553955,0.11066997518610422,0.11339950372208436
