cluster,n_papers,share_of_corpus,median_citations_3yr,mean_citations_3yr,mean_log_citations,share_uncited,share_top_decile
0,7217,0.29229273824470453,7.0,24.691699981689453,2.138915777206421,0.10918664264930027,0.1470139947346543
1,14034,0.568385241586003,4.0,15.513396263122559,1.7987260818481445,0.13039760581445062,0.07631466438648996
2,3440,0.13932202016929246,6.0,51.39738464355469,2.0153181552886963,0.1127906976744186,0.10668604651162791
