model,split,rmse_log,mae_log,r2_log,spearman_log,feature_set
ridge,train,1.1928505569795051,0.9563955664634705,0.17937320470809937,0.41133708914317535,base
ridge,test,1.1106767673052227,0.8797011971473694,0.14050543308258057,0.39511725282856386,base
ridge,train,1.1922784333153176,0.9559600353240967,0.18016016483306885,0.4121200928761846,base_plus_unsup_text_clusters
ridge,test,1.1107923560419706,0.8798899054527283,0.14032649993896484,0.3951491541149646,base_plus_unsup_text_clusters
