model,split,k_fraction,k_papers,threshold_citations,positive_rate,precision_at_10pct,recall_at_10pct,ndcg_at_10pct,lift_at_10pct,feature_set
ridge,train,0.1,2470,41.0,0.1012109675590296,0.297165991902834,0.29371748699479794,0.6546897850798054,2.9361046442868646,base
ridge,test,0.1,2531,41.0,0.05903271692745377,0.20031608060055314,0.3393574297188755,0.6334757627878315,3.3933061364382855,base
ridge,train,0.1,2470,41.0,0.1012109675590296,0.2951417004048583,0.2917166866746699,0.6543204392913681,2.9161039314511235,base_plus_unsup_text_clusters
ridge,test,0.1,2531,41.0,0.05903271692745377,0.20071118135124458,0.34002677376171353,0.6328641222203675,3.3999990479499984,base_plus_unsup_text_clusters
