model,split,positive_rate,threshold_citations,pr_auc,f1,precision,recall,accuracy,roc_auc
logistic_regression,train,0.1012109675590296,41.0,0.263181926632104,0.3157894736842105,0.20231929745552804,0.7190876350540216,0.6846219270179418,0.7706485261732666
logistic_regression,test,0.05903271692745377,41.0,0.17976238403908815,0.25493716337522443,0.1685732786531405,0.5227576974564926,0.8196222538327802,0.7729107550270509
prevalence_baseline,test,0.05903271692745377,41.0,0.05903271692745377,0.0,0.0,0.0,0.9409672830725462,0.5
