model,split,rmse_log,mae_log,r2_log,spearman_log,feature_set,blocks_added
xgboost_regressor,train,1.0792192075647489,0.8647943139076233,0.3282727003097534,0.5679628370771379,base,none
xgboost_regressor,test,1.0705200885026378,0.8526636958122253,0.20153218507766724,0.46349950763144293,base,none
xgboost_regressor,train,1.0584532584680504,0.8464130759239197,0.3538743257522583,0.5885904956830659,base_plus_full_text_lsa,full_text_lsa
xgboost_regressor,test,1.0628478098036918,0.8451777100563049,0.21293628215789795,0.47859217541052196,base_plus_full_text_lsa,full_text_lsa
xgboost_regressor,train,1.022987791076178,0.8171719908714294,0.39644819498062134,0.6200903673607375,base_plus_full_text_affiliation_country,full_text_lsa+affiliation_country
xgboost_regressor,test,1.058886047773985,0.8412421345710754,0.21879291534423828,0.4822693641593256,base_plus_full_text_affiliation_country,full_text_lsa+affiliation_country
xgboost_regressor,train,1.0250759259457576,0.8183910250663757,0.3939817547798157,0.6170734021141292,base_plus_full_text_venue_identity,full_text_lsa+venue_identity
xgboost_regressor,test,1.0589788095517256,0.8410820960998535,0.21865594387054443,0.48019523557994054,base_plus_full_text_venue_identity,full_text_lsa+venue_identity
xgboost_regressor,train,1.0684592916849833,0.8550077676773071,0.34160035848617554,0.577045053818675,base_plus_train_author_reference_history,train_history
xgboost_regressor,test,1.048558489985841,0.8373384475708008,0.23395711183547974,0.4808623504460691,base_plus_train_author_reference_history,train_history
xgboost_regressor,train,1.0469691675450223,0.8368130922317505,0.36781901121139526,0.5990184560153446,base_plus_full_text_history,full_text_lsa+train_history
xgboost_regressor,test,1.044517881069638,0.8330698609352112,0.23984962701797485,0.4893517520962223,base_plus_full_text_history,full_text_lsa+train_history
xgboost_regressor,train,1.047970554389498,0.8375488519668579,0.3666091561317444,0.59693755488482,base_plus_full_text_affiliation_country_history,full_text_lsa+affiliation_country+train_history
xgboost_regressor,test,1.0429645781129986,0.8321034908294678,0.24210882186889648,0.4895156512654559,base_plus_full_text_affiliation_country_history,full_text_lsa+affiliation_country+train_history
xgboost_regressor,train,1.0019920891813074,0.799457848072052,0.4209684729576111,0.6372065264849476,base_plus_full_text_venue_identity_history,full_text_lsa+venue_identity+train_history
xgboost_regressor,test,1.0415431076519834,0.8284494280815125,0.24417322874069214,0.48494299182678685,base_plus_full_text_venue_identity_history,full_text_lsa+venue_identity+train_history
xgboost_regressor,train,1.002993335580031,0.8005386590957642,0.4198107123374939,0.6346574603212959,base_plus_full_text_affiliation_venue_history,full_text_lsa+affiliation_country+venue_identity+train_history
xgboost_regressor,test,1.0404236561503895,0.8277419209480286,0.24579715728759766,0.48803875237671507,base_plus_full_text_affiliation_venue_history,full_text_lsa+affiliation_country+venue_identity+train_history
