model,split,positive_rate,threshold_citations,pr_auc,f1,precision,recall,accuracy,roc_auc,decision_threshold,threshold_source,feature_set,blocks_added
xgboost_classifier,train,0.1012109675590296,41.0,0.5041390141657616,0.439280205655527,0.29559922502075836,0.8547418967587035,0.7791502976793163,0.8935517610072147,0.5,default_probability,base,none
xgboost_classifier,train,0.1012109675590296,41.0,0.5041390141657616,0.5121019108280255,0.4696261682242991,0.5630252100840336,0.8914179255599206,0.8935517610072147,0.6705597639083862,validation_year_2020_max_f1,base,none
xgboost_classifier,test,0.05903271692745377,41.0,0.21431786620275517,0.23619969210468442,0.1413157894736842,0.7188755020080321,0.7255413308044887,0.8016575976085973,0.5,default_probability,base,none
xgboost_classifier,test,0.05903271692745377,41.0,0.21431786620275517,0.287030303030303,0.2250095020904599,0.3962516733601071,0.8837916864232653,0.8016575976085973,0.6705597639083862,validation_year_2020_max_f1,base,none
xgboost_classifier,train,0.1012109675590296,41.0,0.48588617595099254,0.42695943885330895,0.28618152085036797,0.8403361344537815,0.7716981896237496,0.8868292810996063,0.5,default_probability,base_plus_full_text_lsa,full_text_lsa
xgboost_classifier,train,0.1012109675590296,41.0,0.48588617595099254,0.49230769230769234,0.485414235705951,0.49939975990396157,0.8957514883965817,0.8868292810996063,0.6951745748519897,validation_year_2020_max_f1,base_plus_full_text_lsa,full_text_lsa
xgboost_classifier,test,0.05903271692745377,41.0,0.22114409890541342,0.241723259762309,0.14363177805800756,0.7623828647925034,0.7176386913229018,0.8148001288207616,0.5,default_probability,base_plus_full_text_lsa,full_text_lsa
xgboost_classifier,test,0.05903271692745377,41.0,0.22114409890541342,0.2965085982282439,0.24274744027303755,0.3808567603748327,0.8933143669985776,0.8148001288207616,0.6951745748519897,validation_year_2020_max_f1,base_plus_full_text_lsa,full_text_lsa
xgboost_classifier,train,0.1012109675590296,41.0,0.4888689349667139,0.42911018244827237,0.28788293216630195,0.8423369347739096,0.7731562107650561,0.8878348293174515,0.5,default_probability,base_plus_full_text_affiliation_country,full_text_lsa+affiliation_country
xgboost_classifier,train,0.1012109675590296,41.0,0.4888689349667139,0.49415957236190855,0.4890282131661442,0.49939975990396157,0.8965209995544935,0.8878348293174515,0.6980443596839905,validation_year_2020_max_f1,base_plus_full_text_affiliation_country,full_text_lsa+affiliation_country
xgboost_classifier,test,0.05903271692745377,41.0,0.22077923031908855,0.24410452517527087,0.14507575757575758,0.7690763052208835,0.7188240872451399,0.8141873645023812,0.5,default_probability,base_plus_full_text_affiliation_country,full_text_lsa+affiliation_country
xgboost_classifier,test,0.05903271692745377,41.0,0.22077923031908855,0.30111524163568776,0.24955985915492956,0.3795180722891566,0.8960012644223171,0.8141873645023812,0.6980443596839905,validation_year_2020_max_f1,base_plus_full_text_affiliation_country,full_text_lsa+affiliation_country
xgboost_classifier,train,0.1012109675590296,41.0,0.529568823518749,0.45999144201968334,0.31391444006424296,0.860344137655062,0.795553035519015,0.9059604375275704,0.5,default_probability,base_plus_full_text_venue_identity,full_text_lsa+venue_identity
xgboost_classifier,train,0.1012109675590296,41.0,0.529568823518749,0.512712754780416,0.5398230088495575,0.4881952781112445,0.9060791381475032,0.9059604375275704,0.7171421647071838,validation_year_2020_max_f1,base_plus_full_text_venue_identity,full_text_lsa+venue_identity
xgboost_classifier,test,0.05903271692745377,41.0,0.2304316375382949,0.25297151827764075,0.15193965517241378,0.7550200803212851,0.736763078868342,0.8196948090224899,0.5,default_probability,base_plus_full_text_venue_identity,full_text_lsa+venue_identity
