model,split,k_fraction,k_papers,threshold_citations,positive_rate,precision_at_10pct,recall_at_10pct,ndcg_at_10pct,lift_at_10pct,feature_set,blocks_added
xgboost_regressor,train,0.1,2470,41.0,0.1012109675590296,0.4340080971659919,0.4289715886354542,0.7760318500634255,4.2881528319829965,base,none
xgboost_regressor,test,0.1,2531,41.0,0.05903271692745377,0.23548004741209008,0.3989290495314592,0.6633896494337695,3.9889752609807063,base,none
xgboost_regressor,train,0.1,2470,41.0,0.1012109675590296,0.4611336032388664,0.4557823129251701,0.7917350183423514,4.556162383981933,base_plus_full_text_lsa,full_text_lsa
xgboost_regressor,test,0.1,2531,41.0,0.05903271692745377,0.24338206242591862,0.41231593038821956,0.6713065587495489,4.1228334912149585,base_plus_full_text_lsa,full_text_lsa
xgboost_regressor,train,0.1,2470,41.0,0.1012109675590296,0.497165991902834,0.4913965586234494,0.8244060236493029,4.912175072458133,base_plus_full_text_affiliation_country,full_text_lsa+affiliation_country
xgboost_regressor,test,0.1,2531,41.0,0.05903271692745377,0.24298696167522718,0.41164658634538154,0.6768557980359421,4.116140579703246,base_plus_full_text_affiliation_country,full_text_lsa+affiliation_country
xgboost_regressor,train,0.1,2470,41.0,0.1012109675590296,0.4987854251012146,0.49299719887955185,0.8228634976980155,4.9281756427267265,base_plus_full_text_venue_identity,full_text_lsa+venue_identity
xgboost_regressor,test,0.1,2531,41.0,0.05903271692745377,0.24298696167522718,0.41164658634538154,0.6734267196060341,4.116140579703246,base_plus_full_text_venue_identity,full_text_lsa+venue_identity
xgboost_regressor,train,0.1,2470,41.0,0.1012109675590296,0.44291497975708505,0.4377751100440176,0.7876358013780029,4.376155968460259,base_plus_train_author_reference_history,train_history
xgboost_regressor,test,0.1,2531,41.0,0.05903271692745377,0.2777558277360727,0.4705488621151272,0.7211667748710413,4.705116792733954,base_plus_train_author_reference_history,train_history
xgboost_regressor,train,0.1,2470,41.0,0.1012109675590296,0.46356275303643724,0.45818327330932374,0.799831554066208,4.580163239384823,base_plus_full_text_history,full_text_lsa+train_history
xgboost_regressor,test,0.1,2531,41.0,0.05903271692745377,0.2848676412485184,0.4825970548862115,0.7253141639863806,4.825589199944781,base_plus_full_text_history,full_text_lsa+train_history
xgboost_regressor,train,0.1,2470,41.0,0.1012109675590296,0.4773279352226721,0.4717887154861945,0.8067516697010886,4.716168086667866,base_plus_full_text_affiliation_country_history,full_text_lsa+affiliation_country+train_history
xgboost_regressor,test,0.1,2531,41.0,0.05903271692745377,0.2824970367443698,0.4785809906291834,0.7230286826837866,4.785431730874506,base_plus_full_text_affiliation_country_history,full_text_lsa+affiliation_country+train_history
xgboost_regressor,train,0.1,2470,41.0,0.1012109675590296,0.5121457489878543,0.506202480992397,0.8358630028193906,5.060180347442621,base_plus_full_text_venue_identity_history,full_text_lsa+venue_identity+train_history
xgboost_regressor,test,0.1,2531,41.0,0.05903271692745377,0.2813117344922955,0.47657295850066933,0.720836080849423,4.7653529963393675,base_plus_full_text_venue_identity_history,full_text_lsa+venue_identity+train_history
xgboost_regressor,train,0.1,2470,41.0,0.1012109675590296,0.5133603238866397,0.5074029611844738,0.8341127817356233,5.072180775144066,base_plus_full_text_affiliation_venue_history,full_text_lsa+affiliation_country+venue_identity+train_history
xgboost_regressor,test,0.1,2531,41.0,0.05903271692745377,0.2848676412485184,0.4825970548862115,0.7226039361739389,4.825589199944781,base_plus_full_text_affiliation_venue_history,full_text_lsa+affiliation_country+venue_identity+train_history
