model,split,k_fraction,k_papers,threshold_citations,positive_rate,precision_at_10pct,recall_at_10pct,ndcg_at_10pct,lift_at_10pct
ridge,train,0.1,2470,41.0,0.1012109675590296,0.297165991902834,0.29371748699479794,0.6546897850798054,2.9361046442868646
ridge,test,0.1,2531,41.0,0.05903271692745377,0.20031608060055314,0.3393574297188755,0.6334757627878315,3.3933061364382855
