model,split,positive_rate,threshold_citations,pr_auc,f1,precision,recall,accuracy,roc_auc
random_forest,train,0.1012109675590296,41.0,1.0,1.0,1.0,1.0,1.0,1.0
random_forest,test,0.05903271692745377,41.0,0.22874859045101717,0.0950661853188929,0.47023809523809523,0.05287817938420348,0.9405721510984669,0.8082530283503488
prevalence_baseline,test,0.05903271692745377,41.0,0.05903271692745377,0.0,0.0,0.0,0.9409672830725462,0.5
