model,split,positive_rate,threshold_citations,pr_auc,f1,precision,recall,accuracy,roc_auc
logistic_regression,train,0.1012109675590296,41.0,0.26314010862165044,0.31583567415730335,0.2022939390531879,0.7198879551820728,0.6843384229071322,0.7705870830668244
logistic_regression,test,0.05903271692745377,41.0,0.17980570791385572,0.2549019607843137,0.16861219195849547,0.5220883534136547,0.8198198198198198,0.7729709184151291
prevalence_baseline,test,0.05903271692745377,41.0,0.05903271692745377,0.0,0.0,0.0,0.9409672830725462,0.5
