model,split,k_fraction,k_papers,threshold_citations,positive_rate,precision_at_10pct,recall_at_10pct,ndcg_at_10pct,lift_at_10pct
random_forest,train,0.1,2470,41.0,0.1012109675590296,0.8991902834008098,0.8887555022008804,0.9896033461706357,8.884316641636413
random_forest,test,0.1,2531,41.0,0.05903271692745377,0.23627024891347292,0.4002677376171352,0.6664218937933245,4.002361084004131
