model,split,positive_rate,threshold_citations,pr_auc,f1,precision,recall,accuracy,roc_auc,feature_set
random_forest,train,0.1012109675590296,41.0,1.0,1.0,1.0,1.0,1.0,1.0,base
random_forest,test,0.05903271692745377,41.0,0.22874867225666584,0.0950661853188929,0.47023809523809523,0.05287817938420348,0.9405721510984669,0.8082530424039317,base
random_forest,train,0.1012109675590296,41.0,1.0,0.9997999599919984,0.9996,1.0,0.9999594994127415,1.0,base_plus_unsup_text_clusters
random_forest,test,0.05903271692745377,41.0,0.22882293588384442,0.13205417607223477,0.420863309352518,0.0783132530120482,0.9392287023865972,0.8045729290443598,base_plus_unsup_text_clusters
