model,split,rmse_log,mae_log,r2_log,spearman_log
ridge,train,1.1928505569795051,0.9563943147659302,0.17937320470809937,0.411337129820304
ridge,test,1.1106684491745047,0.8796994686126709,0.14051836729049683,0.3951031784501893
