model,split,positive_rate,threshold_citations,pr_auc,f1,precision,recall,accuracy,roc_auc
random_forest,train,0.1012109675590296,41.0,0.9994529336275553,0.9080668604651163,0.8316139767054909,1.0,0.9795067028471913,0.9999417755566539
random_forest,test,0.05903271692745377,41.0,0.23386107431991252,0.3061062648691515,0.2529488859764089,0.38755020080321284,0.8962778568041726,0.809066787010307
prevalence_baseline,test,0.05903271692745377,41.0,0.05903271692745377,0.0,0.0,0.0,0.9409672830725462,0.5
